Timestamp,Glucose Reading/Event
"Apr 26 2023, 12:36 PM",74
"Apr 26 2023, 12:37 PM",77
"Apr 26 2023, 12:38 PM",78
"Apr 26 2023, 12:39 PM",77
"Apr 26 2023, 12:40 PM",76
"Apr 26 2023, 12:41 PM",72
"Apr 26 2023, 12:42 PM",73
"Apr 26 2023, 12:43 PM",76
"Apr 26 2023, 12:44 PM",78
"Apr 26 2023, 12:45 PM",75
"Apr 26 2023, 12:46 PM",81
"Apr 26 2023, 12:47 PM",81
"Apr 26 2023, 12:48 PM",82
"Apr 26 2023, 12:49 PM",84
"Apr 26 2023, 12:50 PM",84
"Apr 26 2023, 12:50 PM",Boiled Egg
"Apr 26 2023,  1:00 PM",74
"Apr 26 2023,  1:06 PM",76
"Apr 26 2023,  1:07 PM",75
"Apr 26 2023,  1:08 PM",75
"Apr 26 2023,  1:09 PM",73
"Apr 26 2023,  1:10 PM",71
"Apr 26 2023,  1:11 PM",72
"Apr 26 2023,  1:12 PM",75
"Apr 26 2023,  1:13 PM",76
"Apr 26 2023,  1:14 PM",76
"Apr 26 2023,  1:15 PM",74
"Apr 26 2023,  1:16 PM",75
"Apr 26 2023,  1:17 PM",76
"Apr 26 2023,  1:18 PM",75
"Apr 26 2023,  1:19 PM",74
"Apr 26 2023,  1:20 PM",72
"Apr 26 2023,  1:21 PM",70
"Apr 26 2023,  1:22 PM",71
"Apr 26 2023,  1:23 PM",72
"Apr 26 2023,  1:24 PM",75
"Apr 26 2023,  1:25 PM",76
"Apr 26 2023,  1:26 PM",76
"Apr 26 2023,  1:27 PM",75
"Apr 26 2023,  1:29 PM",68
"Apr 26 2023,  1:30 PM",71
"Apr 26 2023,  1:31 PM",71
"Apr 26 2023,  1:32 PM",70
"Apr 26 2023,  1:33 PM",67
"Apr 26 2023,  1:34 PM",66
"Apr 26 2023,  1:35 PM",66
"Apr 26 2023,  1:36 PM",67
"Apr 26 2023,  1:37 PM",65
"Apr 26 2023,  1:38 PM",65
"Apr 26 2023,  1:39 PM",66
"Apr 26 2023,  1:40 PM",66
"Apr 26 2023,  1:41 PM",67
"Apr 26 2023,  1:42 PM",67
"Apr 26 2023,  1:43 PM",67
"Apr 26 2023,  1:44 PM",68
"Apr 26 2023,  1:45 PM",68
"Apr 26 2023,  1:47 PM",71
"Apr 26 2023,  1:48 PM",72
"Apr 26 2023,  1:49 PM",73
"Apr 26 2023,  1:50 PM",72
"Apr 26 2023,  1:51 PM",72
"Apr 26 2023,  1:52 PM",71
"Apr 26 2023,  1:53 PM",73
"Apr 26 2023,  1:54 PM",74
"Apr 26 2023,  1:55 PM",75
"Apr 26 2023,  1:56 PM",74
"Apr 26 2023,  1:57 PM",75
"Apr 26 2023,  1:58 PM",73
"Apr 26 2023,  1:59 PM",72
"Apr 26 2023,  2:00 PM",72
"Apr 26 2023,  2:01 PM",71
"Apr 26 2023,  2:02 PM",70
"Apr 26 2023,  2:02 PM",Lauki Sabzi
"Apr 26 2023,  2:03 PM",82
"Apr 26 2023,  2:04 PM",80
"Apr 26 2023,  2:05 PM",80
"Apr 26 2023,  2:06 PM",79
"Apr 26 2023,  2:07 PM",78
"Apr 26 2023,  2:08 PM",79
"Apr 26 2023,  2:09 PM",79
"Apr 26 2023,  2:10 PM",77
"Apr 26 2023,  2:11 PM",73
"Apr 26 2023,  2:12 PM",74
"Apr 26 2023,  2:13 PM",75
"Apr 26 2023,  2:14 PM",76
"Apr 26 2023,  2:15 PM",80
"Apr 26 2023,  2:16 PM",73
"Apr 26 2023,  2:17 PM",73
"Apr 26 2023,  2:18 PM",71
"Apr 26 2023,  2:29 PM",93
"Apr 26 2023,  2:44 PM",96
"Apr 26 2023,  2:59 PM",95
"Apr 26 2023,  3:00 PM",92
"Apr 26 2023,  3:01 PM",94
"Apr 26 2023,  3:02 PM",95
"Apr 26 2023,  3:03 PM",95
"Apr 26 2023,  3:04 PM",93
"Apr 26 2023,  3:05 PM",89
"Apr 26 2023,  3:06 PM",89
"Apr 26 2023,  3:07 PM",95
"Apr 26 2023,  3:08 PM",99
"Apr 26 2023,  3:09 PM",98
"Apr 26 2023,  3:10 PM",99
"Apr 26 2023,  3:11 PM",99
"Apr 26 2023,  3:12 PM",99
"Apr 26 2023,  3:13 PM",98
"Apr 26 2023,  3:14 PM",98
"Apr 26 2023,  3:15 PM",96
"Apr 26 2023,  3:29 PM",87
"Apr 26 2023,  3:44 PM",85
"Apr 26 2023,  3:49 PM",61
"Apr 26 2023,  3:50 PM",62
"Apr 26 2023,  3:51 PM",62
"Apr 26 2023,  3:52 PM",62
"Apr 26 2023,  3:53 PM",63
"Apr 26 2023,  3:54 PM",64
"Apr 26 2023,  3:55 PM",66
"Apr 26 2023,  3:56 PM",69
"Apr 26 2023,  3:57 PM",71
"Apr 26 2023,  3:58 PM",74
"Apr 26 2023,  3:59 PM",63
"Apr 26 2023,  4:00 PM",81
"Apr 26 2023,  4:00 PM",Curd
"Apr 26 2023,  4:01 PM",81
"Apr 26 2023,  4:02 PM",83
"Apr 26 2023,  4:03 PM",85
"Apr 26 2023,  4:04 PM",86
"Apr 26 2023,  4:05 PM",85
"Apr 26 2023,  4:14 PM",61
"Apr 26 2023,  4:17 PM",61
"Apr 26 2023,  4:18 PM",61
"Apr 26 2023,  4:19 PM",62
"Apr 26 2023,  4:20 PM",64
"Apr 26 2023,  4:21 PM",65
"Apr 26 2023,  4:22 PM",66
"Apr 26 2023,  4:23 PM",66
"Apr 26 2023,  4:24 PM",66
"Apr 26 2023,  4:25 PM",65
"Apr 26 2023,  4:26 PM",65
"Apr 26 2023,  4:27 PM",68
"Apr 26 2023,  4:28 PM",69
"Apr 26 2023,  4:29 PM",62
"Apr 26 2023,  4:30 PM",66
"Apr 26 2023,  4:31 PM",64
"Apr 26 2023,  4:32 PM",61
"Apr 26 2023,  4:45 PM",95
"Apr 26 2023,  5:00 PM",113
"Apr 26 2023,  5:01 PM",107
"Apr 26 2023,  5:02 PM",107
"Apr 26 2023,  5:03 PM",108
"Apr 26 2023,  5:04 PM",108
"Apr 26 2023,  5:05 PM",110
"Apr 26 2023,  5:06 PM",110
"Apr 26 2023,  5:07 PM",111
"Apr 26 2023,  5:08 PM",110
"Apr 26 2023,  5:09 PM",111
"Apr 26 2023,  5:10 PM",110
"Apr 26 2023,  5:11 PM",107
"Apr 26 2023,  5:12 PM",104
"Apr 26 2023,  5:13 PM",104
"Apr 26 2023,  5:14 PM",107
"Apr 26 2023,  5:15 PM",111
"Apr 26 2023,  5:16 PM",114
"Apr 26 2023,  5:29 PM",99
"Apr 26 2023,  5:33 PM",82
"Apr 26 2023,  5:34 PM",84
"Apr 26 2023,  5:35 PM",87
"Apr 26 2023,  5:36 PM",87
"Apr 26 2023,  5:37 PM",88
"Apr 26 2023,  5:38 PM",89
"Apr 26 2023,  5:39 PM",90
"Apr 26 2023,  5:40 PM",91
"Apr 26 2023,  5:41 PM",92
"Apr 26 2023,  5:42 PM",93
"Apr 26 2023,  5:43 PM",93
"Apr 26 2023,  5:44 PM",87
"Apr 26 2023,  5:45 PM",95
"Apr 26 2023,  5:46 PM",96
"Apr 26 2023,  5:47 PM",96
"Apr 26 2023,  5:48 PM",97
"Apr 26 2023,  5:49 PM",66
"Apr 26 2023,  5:50 PM",66
"Apr 26 2023,  5:51 PM",65
"Apr 26 2023,  5:52 PM",67
"Apr 26 2023,  5:53 PM",68
"Apr 26 2023,  5:54 PM",69
"Apr 26 2023,  5:55 PM",70
"Apr 26 2023,  5:56 PM",72
"Apr 26 2023,  5:57 PM",72
"Apr 26 2023,  5:58 PM",73
"Apr 26 2023,  5:59 PM",66
"Apr 26 2023,  6:00 PM",75
"Apr 26 2023,  6:01 PM",78
"Apr 26 2023,  6:02 PM",80
"Apr 26 2023,  6:03 PM",82
"Apr 26 2023,  6:04 PM",70
"Apr 26 2023,  6:05 PM",71
"Apr 26 2023,  6:06 PM",70
"Apr 26 2023,  6:07 PM",70
"Apr 26 2023,  6:08 PM",69
"Apr 26 2023,  6:09 PM",69
"Apr 26 2023,  6:10 PM",69
"Apr 26 2023,  6:11 PM",69
"Apr 26 2023,  6:12 PM",69
"Apr 26 2023,  6:13 PM",66
"Apr 26 2023,  6:14 PM",66
"Apr 26 2023,  6:15 PM",65
"Apr 26 2023,  6:30 PM",73
"Apr 26 2023,  6:45 PM",72
"Apr 26 2023,  6:54 PM",67
"Apr 26 2023,  6:55 PM",69
"Apr 26 2023,  6:56 PM",70
"Apr 26 2023,  6:57 PM",71
"Apr 26 2023,  6:58 PM",71
"Apr 26 2023,  6:59 PM",72
"Apr 26 2023,  7:00 PM",72
"Apr 26 2023,  7:01 PM",72
"Apr 26 2023,  7:02 PM",72
"Apr 26 2023,  7:03 PM",72
"Apr 26 2023,  7:04 PM",73
"Apr 26 2023,  7:05 PM",72
"Apr 26 2023,  7:06 PM",73
"Apr 26 2023,  7:07 PM",72
"Apr 26 2023,  7:08 PM",70
"Apr 26 2023,  7:09 PM",69
"Apr 26 2023,  7:10 PM",70
